# %ECSV 1.0
# ---
# datatype:
# - {name: PSRJ, datatype: string}
# - {name: RAJ, datatype: string}
# - {name: DECJ, datatype: string}
# - {name: POSEPOCH, datatype: float32}
# - {name: PMRA, datatype: float32}
# - {name: PMDEC, datatype: float32}
# - {name: DM, datatype: float32}
# - {name: F0, datatype: float32}
# - {name: PEPOCH, datatype: float32}
# - {name: F1, datatype: float32}
# - {name: PX, datatype: float32}
# - {name: S1400, datatype: float32}
# - {name: DIST_DM, datatype: float32}
# - {name: DIST_DM1, datatype: float32}
# - {name: TYPE, datatype: string}
# - {name: ASSOC, datatype: string}
# - {name: SURVEY, datatype: string}
# - {name: P0, datatype: float32}
# - {name: P1, datatype: float32}
# - {name: RM, datatype: float32}
# - {name: S400, datatype: float32}
# - {name: S150, datatype: float32}
# - {name: W50, datatype: float32}
# - {name: W10, datatype: float32}
# - {name: SPINDX, datatype: float32}
# - {name: FRACL, datatype: float32}
# - {name: FRACV, datatype: float32}
# - {name: FRACAV, datatype: float32}
# - {name: MAGINC, datatype: float32}
# - {name: IMPANG, datatype: float32}
# - {name: PASWING, datatype: float32}
# - {name: F2, datatype: float32}
# - {name: F3, datatype: float32}
# - {name: NGLT, datatype: float32}
# - {name: DIST_AMX, datatype: float32}
# - {name: DIST_AMN, datatype: float32}
# - {name: S300, datatype: float32}
# - {name: DMEPOCH, datatype: float32}
# - {name: EPHEM, datatype: string}
# - {name: CLK, datatype: string}
# - {name: PSRB, datatype: string}
# - {name: S50, datatype: float32}
# - {name: S600, datatype: float32}
# - {name: TAU_SC, datatype: float32}
# - {name: ELONG, datatype: float32}
# - {name: ELAT, datatype: float32}
# - {name: PMELONG, datatype: float32}
# - {name: PMELAT, datatype: float32}
# - {name: BINARY, datatype: string}
# - {name: A1, datatype: float32}
# - {name: TASC, datatype: float32}
# - {name: EPS1, datatype: float32}
# - {name: EPS2, datatype: float32}
# - {name: FB0, datatype: float32}
# - {name: FB1, datatype: float32}
# - {name: FB2, datatype: float32}
# - {name: UNITS, datatype: string}
# - {name: BINCOMP, datatype: string}
# - {name: S3000, datatype: float32}
# - {name: S4000, datatype: float32}
# - {name: S800, datatype: float32}
# - {name: S2000, datatype: float32}
# - {name: S900, datatype: float32}
# - {name: S1600, datatype: float32}
# - {name: DIST_A, datatype: float32}
# - {name: ECC, datatype: float32}
# - {name: PB, datatype: float32}
# - {name: PBDOT, datatype: float32}
# - {name: OM, datatype: float32}
# - {name: OMDOT, datatype: float32}
# - {name: T0, datatype: float32}
# - {name: M2, datatype: float32}
# - {name: S350, datatype: float32}
# - {name: DM1, datatype: float32}
# - {name: DM2, datatype: float32}
# - {name: S100, datatype: float32}
# - {name: S820, datatype: float32}
# - {name: S200, datatype: float32}
# - {name: S80, datatype: float32}
# - {name: S1284, datatype: float32}
# - {name: P2, datatype: float32}
# - {name: A1DOT, datatype: float32}
# - {name: S60, datatype: float32}
# - {name: S5000, datatype: float32}
# - {name: S40, datatype: float32}
# - {name: A1_2, datatype: float32}
# - {name: PB_2, datatype: float32}
# - {name: TASC_2, datatype: float32}
# - {name: EPS1_2, datatype: float32}
# - {name: EPS2_2, datatype: float32}
# - {name: SINI, datatype: float32}
# - {name: M2_2, datatype: float32}
# - {name: MASS_Q, datatype: float32}
# - {name: S2250, datatype: float32}
# - {name: S8600, datatype: float32}
# - {name: S700, datatype: float32}
# - {name: KOM, datatype: float32}
# - {name: KIN, datatype: float32}
# - {name: STIG, datatype: float32}
# - {name: H3, datatype: float32}
# - {name: H4, datatype: float32}
# - {name: GAMMA, datatype: float32}
# - {name: S1500, datatype: float32}
# - {name: S100G, datatype: float32}
# - {name: S150G, datatype: float32}
# - {name: OM_ASC, datatype: float32}
# - {name: DM3, datatype: float32}
# - {name: A1_3, datatype: float32}
# - {name: ECC_2, datatype: float32}
# - {name: ECC_3, datatype: float32}
# - {name: PB_3, datatype: float32}
# - {name: OM_2, datatype: float32}
# - {name: OM_3, datatype: float32}
# - {name: T0_2, datatype: float32}
# - {name: T0_3, datatype: float32}
# - {name: SINI_2, datatype: float32}
# - {name: SINI_3, datatype: float32}
# - {name: M2_3, datatype: float32}
# - {name: A12DOT, datatype: float32}
# - {name: OM2DOT, datatype: float32}
# - {name: S430, datatype: float32}
# - {name: S1380, datatype: float32}
# - {name: S35, datatype: float32}
# - {name: S64, datatype: float32}
# - {name: S79, datatype: float32}
# - {name: S6000, datatype: float32}
# - {name: FB3, datatype: float32}
# - {name: FB4, datatype: float32}
# - {name: 'WARNING:', datatype: string}
# - {name: FB5, datatype: float32}
# - {name: FB6, datatype: float32}
# - {name: F4, datatype: float32}
# - {name: F5, datatype: float32}
# - {name: S8000, datatype: float32}
# - {name: S9000, datatype: float32}
# - {name: S1283, datatype: float32}
# - {name: PBDOT_2, datatype: float32}
# - {name: PBDOT_3, datatype: float32}
# - {name: DM4, datatype: float32}
# - {name: DM5, datatype: float32}
# - {name: ECCDOT, datatype: float32}
# - {name: DTHETA, datatype: float32}
# - {name: FB7, datatype: float32}
# - {name: FB8, datatype: float32}
# schema: astropy-2.0
PSRJ RAJ DECJ POSEPOCH PMRA PMDEC DM F0 PEPOCH F1 PX S1400 DIST_DM DIST_DM1 TYPE ASSOC SURVEY P0 P1 RM S400 S150 W50 W10 SPINDX FRACL FRACV FRACAV MAGINC IMPANG PASWING F2 F3 NGLT DIST_AMX DIST_AMN S300 DMEPOCH EPHEM CLK PSRB S50 S600 TAU_SC ELONG ELAT PMELONG PMELAT BINARY A1 TASC EPS1 EPS2 FB0 FB1 FB2 UNITS BINCOMP S3000 S4000 S800 S2000 S900 S1600 DIST_A ECC PB PBDOT OM OMDOT T0 M2 S350 DM1 DM2 S100 S820 S200 S80 S1284 P2 A1DOT S60 S5000 S40 A1_2 PB_2 TASC_2 EPS1_2 EPS2_2 SINI M2_2 MASS_Q S2250 S8600 S700 KOM KIN STIG H3 H4 GAMMA S1500 S100G S150G OM_ASC DM3 A1_3 ECC_2 ECC_3 PB_3 OM_2 OM_3 T0_2 T0_3 SINI_2 SINI_3 M2_3 A12DOT OM2DOT S430 S1380 S35 S64 S79 S6000 FB3 FB4 WARNING: FB5 FB6 F4 F5 S8000 S9000 S1283 PBDOT_2 PBDOT_3 DM4 DM5 ECCDOT DTHETA FB7 FB8
J1909+1132g 19:09:37 +11:32 "" "" "" 276.1 "" "" "" "" 0.015 8.103 6.903 "" "" fast_gpps 0.0068 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1909+1148 19:09:31.379 +11:48:59.86 "" "" "" 199.8 "" 56700.0 "" "" 0.09 7.125 5.639 "" "" palfa,fast_gpps 0.44894546 7.25e-17 688.0 "" "" 3.6 10.5 "" 0.22 -0.06 0.07 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1909+1205 19:09:51.47 +12:05:47 "" "" "" 302.5 "" 55897.0 "" "" 0.1 10.13 7.957 "" "" palfa,fast_gpps 1.2293124 3.4e-15 784.2 "" "" 11.5 25.7 "" 0.41 -0.1 0.12 12.0 -4.0 -10.0 "" "" "" "" "" "" "" DE436 UTC(NIST) "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" TDB "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1909+1450 19:09:26.96 +14:50:58 "" "" "" 119.5 "" 49079.5 "" "" "" 4.411 4.653 "" "" ar3,fast_gpps 0.9961078 2.19e-16 414.0 1.1 "" 9.6 85.0 "" 0.45 0.1 0.1 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1909+1859 19:09:18.604 +18:59:10.74 "" "" "" 64.5 "" 49079.5 "" "" "" 2.447 3.163 "" "" ar3,ar4,fast_gpps 0.5424511 9.7e-17 217.0 5.4 6.0 8.0 18.0 -0.8 0.26 0.07 0.17 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1909-3744 19:09:47.4335785 -37:44:14.51579 55635.0 -9.523 -35.78 10.3925 339.31567 55000.0 -1.614806e-15 0.94 1.8 0.564 0.457 "" "" pkssw,gbncc "" "" -0.66 "" "" 5.9 10.7 -1.36 "" "" "" "" "" "" "" "" "" "" "" "" 55000.0 DE436 TT(BIPM2018) "" "" "" "" 284.22086 -15.15552 -13.8619 -34.327 T2 1.8979911 56180.85 5.4e-08 -1.07e-07 "" "" "" TCB He[jhb+05] 0.76 "" 3.2 "" "" "" 1.14 "" 1.5334495 5.09e-13 "" "" "" 0.2048 7.0 -0.00037 4.1e-05 "" "" "" "" "" "" -3.6e-16 "" "" "" "" "" "" "" "" 0.99831 "" "" 0.51 0.13 4.9 39.0 93.52 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910+0225 19:10:10.359 +02:25:23.6 "" "" "" 209.0 2.959851 52586.0 -2.298e-15 "" 0.6 7.932 5.838 "" "" pksmb,gbncc "" "" 323.0 "" "" 17.0 30.0 -3.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 5.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910+0358 "" "" 50026.0 "" "" 82.93 0.42913616 50026.0 -8.2339e-16 "" 1.5 2.861 3.172 "" "" misc,lotaas,mol2,pks "" "" -125.0 21.0 50.0 52.0 457.0 -0.7 "" "" "" "" "" "" 1.4e-26 "" 1.0 "" "" "" "" "" "" B1907+03 "" 16.0 "" 289.57962 26.2295 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910+0435 19:10:11.072 +04:35:29.5 "" "" "" 297.0 "" 57862.0 "" "" 0.09 11.322 7.359 "" "" palfa 0.6646794 1.72366e-14 "" "" "" 15.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" DE436 UTC(NIST) "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" TDB "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910+0517 19:10:37.907 +5:17:56.1 "" "" "" 300.0 3.246248 56700.0 -7.698e-15 "" 0.5 11.02 7.297 "" "" palfa "" "" "" "" "" 13.0 "" "" "" "" "" "" "" "" 7.5e-24 -1.8e-31 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" -2.6e-38 "" "" "" "" "" "" "" "" "" "" "" ""
J1910+0534 19:10:26.51 +05:34:09 "" "" "" 479.4 2.208152 51709.0 -9.38e-15 "" 0.41 20.635 10.599 "" "" pksmb,palfa,fast_gpp "" "" 347.8 "" "" 19.5 33.1 "" 0.32 0.12 0.15 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.025 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910+0710 19:10:13.873 +07:10:46.4 "" "" "" 254.1 "" 57671.0 "" "" 0.032 5.974 6.051 "" "" palfa,fast_gpps 0.5386468 2.05e-16 "" "" "" 16.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" DE436 UTC(NIST) "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" TDB "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910+0714 19:10:18.597 +07:14:11.8 "" "" "" 123.3 "" 49079.5 "" "" 0.36 3.663 4.041 "" "" ar3,palfa,pksmb,fast 2.7124228 6.122e-15 146.8 5.4 "" 2.5 6.0 -2.5 0.22 -0.05 0.13 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.00023 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910+0728 19:10:22.079 +07:28:37.09 "" "" "" 283.7 3.0729961 52187.0 -7.84378e-14 "" 0.87 6.232 6.472 "" "" pksmb,palfa,fast_gpp "" "" 566.7 "" "" 15.7 22.0 -0.7 0.15 0.1 0.11 45.0 -5.0 21.0 "" "" "" "" "" "" "" "" "" "" "" 2.4 0.001412 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.65 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910+1017 19:10:26.124 +10:17:54.09 "" "" "" 633.83 "" 55938.0 "" "" 0.037 13.676 12.478 "" "" palfa 0.41115886 5.4152e-15 "" "" "" 11.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" DE436 UTC(NIST) "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" TDB "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910+1026 19:10:48.753 +10:26:52.5 "" "" "" 715.3 "" 56334.0 "" "" 0.058 15.894 14.98 "" "" palfa,fast_gpps 0.531493 2.57067e-13 209.0 "" "" 8.1 "" "" 0.84 -0.02 0.05 "" "" "" "" "" 1.0 "" "" "" "" DE436 UTC(NIST) "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" TDB "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910+1054g 19:10:01 +10:54 "" "" "" 139.4 "" "" "" "" 0.015 4.372 3.965 "" "" fast_gpps 0.00387 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910+1117g 19:10:27 +11:17 "" "" "" 297.4 "" "" "" "" 0.018 7.901 7.011 "" "" fast_gpps 1.32152 "" 1019.0 "" "" 2.3 13.2 "" 0.14 0.12 0.13 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910+1231 "" "" 48741.0 "" "" 258.6 0.69360554 48741.0 -3.95923e-15 "" 0.28 8.124 7.393 "" "" ar1,ar3,palfa,pksmb, "" "" 1000.5 5.0 "" 3.5 9.7 "" 0.27 0.15 0.19 "" "" "" 1.4e-27 "" "" "" "" "" "" "" "" B1907+12 "" "" 0.00036 290.98666 34.6968 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910+1256 19:10:9.701454 +12:56:25.4868 56398.0 0.24 -7.1 38.0 200.6588 55000.0 -3.8969e-16 0.36 0.66 1.495 2.324 "" "" pksmb,palfa,fast_gpp "" "" 60.0 "" "" 12.4 34.6 -1.0 0.09 -0.02 0.17 "" "" "" "" "" "" "" 0.91 "" "" DE436 TT(BIPM2017) "" "" "" "" 291.0414 35.10722 "" "" T2 21.129105 "" "" "" "" "" "" TDB He[gsf+11] "" "" "" 0.34 "" "" "" 0.00023024 58.466743 "" 106.005 "" 52968.45 "" "" 0.0002 -4e-05 "" "" "" "" "" "" -1.5e-14 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910+56 19:10:42 +56:55 "" "" "" 20.75 "" "" "" "" "" 1.482 1.518 "" "" lotaas 0.3419 "" "" "" "" 51.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910-0112 19:10:15.7 -01:12:06 "" "" "" 155.6 0.7349683 53174.0 -9.6e-17 "" 0.07 6.391 4.461 "" "" pksmb,fast_gpps "" "" 135.0 "" "" 12.6 15.3 "" 0.34 0.06 0.23 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910-0309 19:10:29.692 -03:09:54.1 57600.0 "" "" 205.53 1.9817439 57600.0 -8.61183e-15 "" 0.55 14.439 6.066 "" "" mol2,gb3,lotaas,pks7 "" "" 152.0 27.0 36.0 5.9 25.0 -2.6 "" "" "" "" "" "" -2.2e-25 "" 3.0 "" "" "" "" "" "" B1907-03 "" 5.8 1.96e-05 "" "" "" "" "" "" "" "" "" "" "" "" TCB "" "" "" 5.1 "" 2.6 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910-0556 19:10:16.523 -05:56:29.9 57325.0 "" "" 88.3 1.7933705 57325.0 -1.9171e-15 "" 0.26 3.822 2.683 "" "" pks_superb "" "" 75.0 "" "" 15.2 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 57325.0 DE421 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" TCB "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910-5959A 19:11:42.74680 -59:58:26.9850 59451.0 -3.16 -4.03 33.704 306.16745 59451.0 2.7407e-16 0.254 0.304 1.686 1.154 "" GC:NGC6752,XRS:[fhc+ pksgc "" "" 43.0 "" "" 0.4 0.6 "" "" "" "" "" "" "" 5.8e-27 "" "" "" "" "" "" DE405 TT(TAI) "" "" "" "" "" "" "" "" ELL1H 1.2060418 51919.207 8.5e-07 -1.7e-07 "" "" "" "" He[cfpd06] "" "" "" "" "" "" 4.12 "" 0.8371135 -4.9e-14 "" "" "" 0.18 "" -0.0012 -0.00013 "" "" "" "" "" "" -4e-15 "" "" "" "" "" "" "" "" 0.9997 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910-5959B 19:10:52.0556 -59:59:00.861 "" -3.16 -4.03 33.28 "" 52000.0 "" 0.254 0.05 1.631 1.139 "" GC:NGC6752,XRS:[bgh+ pksgc 0.008357799 -7.9041e-19 "" "" "" 0.6 1.3 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 4.12 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910-5959C 19:11:05.5552 -60:00:59.700 "" -3.16 -4.03 33.21 "" 51910.0 "" 0.254 0.24 1.627 1.137 "" GC:NGC6752,XRS:[bgh+ pksgc 0.005277327 2.16e-21 "" "" "" 1.3 2.8 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 4.12 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910-5959D 19:10:52.4163 -59:59:05.479 "" -3.16 -4.03 33.28 "" 51910.0 "" 0.254 0.05 1.631 1.139 "" GC:NGC6752,XRS:[bgh+ pksgc 0.009035286 9.6431e-19 "" "" "" 0.7 1.1 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 4.12 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
J1910-5959E 19:10:52.1572 -59:59:02.087 "" -3.16 -4.03 33.31 "" 51910.0 "" 0.254 0.07 1.634 1.14 "" GC:NGC6752,XRS:[fhc+ pksgc 0.004571766 -4.3435e-19 "" "" "" 0.6 1.1 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 4.12 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
