#   1                     2                  3          4         5      6    7         8      9    10      11     12      13     14      15     16      17      18      19     20      21     22      23     24      25     26      27
# SOURCE              CEPHEID_ID             L          B        DIST  dDIST AGE      PERIOD  MODE  I1     dI1     I2     dI2     I3     dI3     I4     dI4      W1     dW1     W2     dW2     W3     dW3     W4     dW4    A_Ks   SOURCE"
#   -                     -                (deg)      (deg)      (pc)  (pc) (Myr)      (d)     -   (mag)  (mag)   (mag)  (mag)   (mag)  (mag)   (mag)  (mag)    (mag)  (mag)   (mag)  (mag)   (mag)  (mag)   (mag)  (mag)   (mag)    -
OGLE-IV            OGLE-GD-CEP-0388     277.33684   -1.35914     6034   216  450    0.4155894 1O  12.582  0.057  12.451  0.095  12.344  0.115  12.697  0.112   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.568  -      
ASAS-SN            J092202.82-570954.3  277.40222   -5.06857    12991   499  173    3.5879095 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   11.282  0.061  11.289  0.076   0.000  0.000   0.000  0.000   0.110  OGLE   
OGLE-IV            OGLE-GD-CEP-0425     277.52962    2.44121     6809   255  174    2.6048301 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   10.373  0.074  10.367  0.079  10.430  0.217   0.000  0.000   0.187  GAIA   
OGLE-IV            OGLE-GD-CEP-0376     277.59296   -3.06171     6840   356  162    2.9332211 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   10.414  0.074  10.375  0.079  10.113  0.186   0.000  0.000   0.441  -      
OGLE-IV            OGLE-GD-CEP-0409     277.86033    0.68123     9084   430  106    6.4742066 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    9.914  0.046   9.871  0.052   9.611  0.179   0.000  0.000   0.457  -      
OGLE-IV            OGLE-GD-CEP-0387     277.89508   -2.04762    11547   488  162    3.6710317 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   11.221  0.084  11.162  0.097   0.000  0.000   0.000  0.000   0.484  -      
OGLE-IV            OGLE-GD-CEP-0375     277.95145   -4.03872    11371   503  130    5.1360694 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   10.621  0.087  10.595  0.107   0.000  0.000   0.000  0.000   0.337  GAIA   
OGLE-IV            OGLE-GD-CEP-0404     277.95820   -0.03842     9134   209  145    3.8718006 F   10.664  0.059  10.625  0.070  10.470  0.075  10.542  0.061   10.687  0.067  10.633  0.072   0.000  0.000   0.000  0.000   0.506  -      
OGLE-IV            OGLE-GD-CEP-0361     277.99277   -5.04373    13675   504  270    1.7313391 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   11.941  0.057  11.941  0.070   0.000  0.000   0.000  0.000   0.087  GAIA   
OGLE-IV            OGLE-GD-CEP-0395     278.23291   -1.20096     4851   111  141    3.4353175 F    9.455  0.052   9.393  0.103   9.346  0.063   9.358  0.057    9.545  0.071   9.469  0.080   9.416  0.112   0.000  0.000   0.447  -      
OGLE-IV            OGLE-GD-CEP-0368     278.35106   -4.87540    14172   521  327    1.4149237 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   12.361  0.060  12.336  0.071   0.000  0.000   0.000  0.000   0.158  -      
OGLE-IV            OGLE-GD-CEP-0413     278.41120    0.29194     5099   110  109    5.3544060 F    8.872  0.075   8.824  0.082   8.724  0.070   8.755  0.065    8.841  0.066   8.805  0.069   8.789  0.088   0.000  0.000   0.333  -      
OGLE-IV            OGLE-GD-CEP-0406     278.41319   -0.28113     7198   144  133    2.9770470 1O  10.094  0.053  10.032  0.066   9.928  0.053   9.942  0.043   10.004  0.052   9.963  0.054   9.944  0.147   0.000  0.000   0.548  -      
ASAS               J101045-5009.6       278.42527    4.90795     6030   185  164    2.0061900 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    9.967  0.036   9.969  0.043   9.967  0.149   0.000  0.000   0.118  -      
OGLE-IV            OGLE-GD-CEP-0399     278.59592   -1.29847     4806    97  115    4.8769347 F    8.877  0.055   8.846  0.055   8.777  0.070   8.797  0.065    8.904  0.056   8.839  0.058   8.723  0.068   0.000  0.000   0.383  -      
OGLE-IV            OGLE-GD-CEP-0378     278.63642   -3.74527    11859   455  231    1.8244507 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   11.669  0.053  11.675  0.065   0.000  0.000   0.000  0.000   0.301  -      
OGLE-IV            OGLE-GD-CEP-0410     278.64098   -0.23427     5923   110  175    1.7992480 1O  10.323  0.044  10.263  0.058  10.261  0.051  10.216  0.046   10.260  0.041  10.193  0.046   9.655  0.115   0.000  0.000   0.427  -      
OGLE-IV            OGLE-GD-CEP-0416     278.69372    0.11944     4371    88  113    3.4038031 1O   8.633  0.046   8.599  0.057   8.629  0.046   8.584  0.040    8.692  0.044   8.661  0.044   8.644  0.061   0.000  0.000   0.316  -      
OGLE-IV            OGLE-GD-CEP-0402     278.95476   -1.36687     7858   188  153    3.3547548 F   10.649  0.081  10.600  0.075  10.429  0.079  10.456  0.068   10.581  0.083  10.482  0.090   0.000  0.000   0.000  0.000   0.593  -      
OGLE-IV            OGLE-GD-CEP-0418     278.97157   -0.09643     6768   149  248    1.0988053 1O  11.250  0.061  11.259  0.059  11.110  0.077  11.227  0.066   11.186  0.060  11.169  0.050   0.000  0.000   0.000  0.000   0.319  -      
GCVS               FN____Vel            279.02859   -1.36946     2174    45  106    5.3241672 F    6.891  0.057   6.875  0.067   6.838  0.055   6.836  0.051    6.784  0.219   6.887  0.076   6.925  0.056   6.684  0.196   0.130  -      
OGLE-IV            OGLE-GD-CEP-0394     279.10946   -2.36207     9852   411  198    1.9313621 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   11.357  0.056  11.355  0.056   0.000  0.000   0.000  0.000   0.620  -      
ASAS               J094841-5544.8       279.17259   -1.54429     3584    71  114    3.2419223 1O   8.216  0.043   8.153  0.037   0.000  0.000   0.000  0.000    8.215  0.033   8.180  0.037   8.221  0.045   0.000  0.000   0.195  OGLE   
OGLE-IV            OGLE-GD-CEP-0414     279.26234   -0.63175     7439   169   89    8.0244354 F    9.230  0.061   9.183  0.090   9.078  0.059   9.100  0.057    9.060  0.095   9.047  0.087   9.135  0.107   0.000  0.000   0.504  -      
OGLE-IV            OGLE-GD-CEP-0392     279.26657   -2.86305    12666   545  145    3.5359615 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   10.824  0.070  10.855  0.062   0.000  0.000   0.000  0.000   0.288  -      
OGLE-IV            OGLE-GD-CEP-0424     279.38098   -0.06693     4807    85  121    3.0522549 1O   9.000  0.053   8.928  0.041   8.896  0.046   8.893  0.031    8.963  0.045   8.927  0.041   8.989  0.072   0.000  0.000   0.248  -      
OGLE-IV            OGLE-GD-CEP-0422     279.39425   -0.09150     5182   107  119    4.6106927 F    9.108  0.052   9.097  0.061   9.004  0.050   8.999  0.049    9.139  0.054   9.094  0.065   8.937  0.078   0.000  0.000   0.359  -      
OGLE-IV            OGLE-GD-CEP-0405     279.45370   -1.55583     4628   110  172    2.4078374 F    9.884  0.058   9.845  0.052   0.000  0.000   0.000  0.000    9.813  0.062   9.719  0.056   9.466  0.129   0.000  0.000   0.488  -      
OGLE-IV            OGLE-GD-CEP-0417     279.49649   -0.77098     6813   150  130    4.2036882 F   10.022  0.069   9.979  0.068   9.927  0.067   9.904  0.062   10.034  0.076   9.979  0.073  10.108  0.171   0.000  0.000   0.704  -      
OGLE-IV            OGLE-GD-CEP-0393     279.59627   -3.13880    14103   692  199    3.0085780 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   11.770  0.094  11.676  0.150   0.000  0.000   0.000  0.000   0.158  GAIA   
OGLE-IV            OGLE-GD-CEP-0421     279.61693   -0.38421     7662   164  117    5.1796508 F    9.798  0.061   9.826  0.067   9.688  0.055   9.685  0.055    9.807  0.060   9.757  0.059   9.639  0.129   0.000  0.000   0.370  -      
OGLE-IV            OGLE-GD-CEP-0401     279.66386   -2.38679    12719   592  154    4.1682384 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   11.202  0.102  11.151  0.115   0.000  0.000   0.000  0.000   0.399  -      
OGLE-IV            OGLE-GD-CEP-0400     279.75228   -2.62394     8541   418  622    0.3205545 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   13.418  0.097  13.442  0.141   0.000  0.000   0.000  0.000   0.172  -      
OGLE-IV            OGLE-GD-CEP-0396     279.79295   -3.02458    10058   387  215    1.7346904 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   11.314  0.060  11.321  0.075   0.000  0.000   0.000  0.000   0.171  GAIA   
OGLE-IV            OGLE-GD-CEP-0390     279.91041   -4.05886    13859   513  303    1.4899524 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   12.195  0.055  12.198  0.075   0.000  0.000   0.000  0.000   0.099  -      
OGLE-IV            OGLE-GD-CEP-0411     279.98343   -1.82548     6458   161   88    7.9399643 F    9.035  0.065   8.919  0.059   0.000  0.000   0.000  0.000    9.028  0.077   8.948  0.099   8.886  0.076   0.000  0.000   0.689  -      
OGLE-IV            OGLE-GD-CEP-0415     280.23074   -1.83266     7239   180  108    5.7564671 F    9.765  0.067   9.716  0.062   0.000  0.000   0.000  0.000    9.830  0.097   9.715  0.104   9.732  0.130   0.000  0.000   0.845  -      
OGLE-IV            OGLE-GD-CEP-0423     280.25688   -1.19052    10444   311  194    2.5434933 F   11.899  0.070  11.691  0.073  11.571  0.118  11.713  0.108   12.009  0.112  11.863  0.121   0.000  0.000   0.000  0.000   1.074  -      
OGLE-IV            OGLE-GD-CEP-0431     280.38315   -0.26246     9523   199  106    4.5839720 1O  10.161  0.048  10.056  0.049   9.952  0.058   9.937  0.040   10.035  0.048   9.957  0.047   9.827  0.137   0.000  0.000   0.659  -      
OGLE-IV            OGLE-GD-CEP-0419     280.42344   -1.69425     5418   135  116    4.8467628 F    9.360  0.058   9.249  0.063   0.000  0.000   0.000  0.000    9.358  0.085   9.195  0.082   8.926  0.096   0.000  0.000   0.721  -      
GCVS               V850__Car            280.45284   -3.16545     5287   154  110    5.2169203 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    8.896  0.051   8.864  0.046   8.909  0.077   0.000  0.000   0.263  OGLE   
OGLE-IV            OGLE-GD-CEP-0435     280.54019    0.23300     4688   104  130    3.9048728 F    9.153  0.068   9.147  0.081   9.151  0.074   9.099  0.068    9.227  0.065   9.186  0.069   9.114  0.093   0.000  0.000   0.457  -      
OGLE-IV            OGLE-GD-CEP-0408     280.57299   -2.75021       -1     0  118    1.6314146 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  -      
GCVS               V690__Car            280.59754   -3.31543     3368   103  123    4.1505759 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    8.164  0.063   8.146  0.062   8.125  0.062   0.000  0.000   0.096  -      
WISE               J100302.3-560258     280.94274   -0.54190     8340   212  129    4.4560218 F   10.661  0.074  10.596  0.077  10.394  0.077  10.358  0.075   10.728  0.083  10.508  0.076   9.404  0.120   6.850  0.266   1.218  OGLE   
OGLE-IV            OGLE-GD-CEP-0436     280.95828   -0.27218     3532    74  125    4.0521284 F    8.676  0.066   8.630  0.069   8.465  0.056   8.508  0.055    8.613  0.067   8.541  0.065   8.613  0.086   0.000  0.000   0.699  -      
OGLE-IV            OGLE-GD-CEP-0448     280.99944    1.18380    10679   419  336    0.9611264 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   12.462  0.067  12.430  0.081   0.000  0.000   0.000  0.000   0.432  -      
OGLE-IV            OGLE-GD-CEP-0420     281.07013   -2.28289     5775   219  221    1.1945242 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   10.852  0.066  10.806  0.066   0.000  0.000   0.000  0.000   0.501  -      
OGLE-IV            OGLE-GD-CEP-0434     281.20899   -0.80534     5552   116  123    4.3789415 F    9.842  0.048   9.686  0.065   9.599  0.059   9.624  0.058    9.853  0.060   9.710  0.054   0.000  0.000   0.000  0.000   1.228  -      
OGLE-IV            OGLE-GD-CEP-0407     281.34690   -3.78895    11169   394  176    2.4420385 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   11.138  0.049  11.104  0.060   0.000  0.000   0.000  0.000   0.319  GAIA   
GCVS               GX____Car            281.57320   -3.05675     2194    70   89    7.1968800 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    6.476  0.068   6.493  0.062   6.443  0.054   6.195  0.129   0.154  -      
OGLE-IV            OGLE-GD-CEP-0397     281.63272   -4.99851    11373   435  188    2.7760418 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   11.347  0.065  11.354  0.068   0.000  0.000   0.000  0.000   0.096  ASAS-SN
OGLE-IV            OGLE-GD-CEP-0444     281.69100   -0.21934     4182    77  113    3.3378463 1O   8.808  0.050   8.776  0.054   8.718  0.046   8.705  0.038    8.792  0.040   8.679  0.049   8.662  0.076   0.000  0.000   0.747  -      
OGLE-IV            OGLE-GD-CEP-0449     281.81726    0.03988     4549    98   69   11.4207701 F    7.777  0.064   7.795  0.069   7.712  0.065   7.638  0.063    7.802  0.077   7.729  0.078   7.647  0.067   0.000  0.000   0.852  -      
OGLE-IV            OGLE-GD-CEP-0453     281.85739    0.19254     7431   219   78    9.8900357 F    9.317  0.067   9.195  0.076   9.015  0.066   8.990  0.062    9.090  0.070   8.906  0.073   8.751  0.095   0.000  0.000   1.044  -      
OGLE-IV            OGLE-GD-CEP-0447     281.93225   -0.15298     3754    82  134    3.5761474 F    8.931  0.051   8.948  0.058   8.844  0.058   8.849  0.047    9.048  0.070   8.956  0.069   8.920  0.084   0.000  0.000   0.693  -      
OGLE-IV            OGLE-GD-CEP-0428     281.95649   -2.64039     9068   372   48   23.4291131 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    8.283  0.112   8.132  0.115   8.191  0.138   0.000  0.000   0.775  -      
OGLE-IV            OGLE-GD-CEP-0439     282.08474   -1.32101     3504    70   91    6.9965209 F    8.112  0.060   7.975  0.056   7.914  0.071   7.907  0.068    8.126  0.055   7.964  0.066   7.774  0.080   0.000  0.000   1.127  -      
OGLE-IV            OGLE-GD-CEP-0456     282.09838    0.01524     5640   137  132    3.8373966 F    9.973  0.064   9.882  0.065   9.779  0.053   9.732  0.060   10.096  0.080   9.937  0.083   8.362  1.051   6.333  0.255   1.140  -      
OGLE-IV            OGLE-GD-CEP-0457     282.30081   -0.25881     4769   139   56   16.6031872 F    7.443  0.084   7.354  0.089   7.240  0.084   7.185  0.086    7.127  0.138   7.153  0.117   7.094  0.102   6.741  0.221   0.844  -      
OGLE-IV            OGLE-GD-CEP-0427     282.31659   -3.16126     9914   375  159    3.3415215 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   10.934  0.064  10.892  0.076   0.000  0.000   0.000  0.000   0.331  -      
GCVS               V701__Car            282.33215   -1.00718     2256    49  123    4.0892288 F    7.409  0.071   7.406  0.057   7.362  0.053   7.394  0.044    7.308  0.103   7.377  0.060   7.284  0.076   4.742  0.175   0.263  -      
OGLE-IV            OGLE-GD-CEP-0446     282.33691   -0.73678     5070   120  119    4.5286418 F    9.361  0.090   9.435  0.069   9.244  0.068   9.248  0.059    9.406  0.064   9.265  0.073   9.919  0.180   0.000  0.000   0.889  -      
OGLE-IV            OGLE-GD-CEP-0461     282.36254    0.12863     3771    80  175    2.2475688 F    9.581  0.050   9.508  0.054   9.454  0.055   9.358  0.045    9.639  0.043   9.489  0.050   9.406  0.118   0.000  0.000   0.628  -      
OGLE-IV            OGLE-GD-CEP-0430     282.36299   -2.90927    12303   498  138    4.7207283 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   10.918  0.075  10.887  0.083   0.000  0.000   0.000  0.000   0.347  -      
OGLE-IV            OGLE-GD-CEP-0437     282.54676   -2.32090     7148   253  117    4.9540404 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    9.842  0.058   9.749  0.052   9.248  0.110   6.972  0.279   0.618  -      
GCVS               RY____Vel            282.56889    1.47493     2524   105   41   28.1341673 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    4.711  0.339   4.359  0.566   4.870  0.062   4.777  0.080   0.215  -      
OGLE-IV            OGLE-GD-CEP-0442     282.60385   -1.76596     7563   191  156    3.0946938 F   10.994  0.068  10.848  0.063   0.000  0.000   0.000  0.000   11.033  0.070  10.874  0.079   0.000  0.000   0.000  0.000   1.258  -      
OGLE-IV            OGLE-GD-CEP-0433     282.69806   -2.82171     6277   223  175    1.7578595 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   10.480  0.054  10.432  0.044   0.000  0.000   0.000  0.000   0.521  -      
OGLE-IV            OGLE-GD-CEP-0458     282.70087   -0.77285     5140   113   95    6.6661236 F    8.970  0.060   8.871  0.067   8.786  0.059   8.833  0.056    9.044  0.079   8.917  0.090   8.866  0.094   0.000  0.000   1.100  -      
OGLE-IV            OGLE-GD-CEP-0440     282.70243   -2.02252     9723   282  122    5.1276995 F   10.667  0.066  10.461  0.067   0.000  0.000   0.000  0.000   10.554  0.077  10.429  0.081   9.869  0.227   0.000  0.000   0.823  -      
OGLE-IV            OGLE-GD-CEP-0480     282.87083    0.43568     6179   162  156    2.9182618 F   10.345  0.094  10.272  0.089  10.187  0.086  10.193  0.081   10.382  0.098  10.308  0.101  10.207  0.210   0.000  0.000   0.699  -      
OGLE-IV            OGLE-GD-CEP-0443     282.94400   -2.02165     8489   200  141    3.8138028 F   10.777  0.058  10.664  0.053   0.000  0.000   0.000  0.000   10.779  0.070  10.669  0.072   0.000  0.000   0.000  0.000   0.933  -      
OGLE-IV            OGLE-GD-CEP-0459     282.97843   -1.13473     5777   132  161    1.9426806 1O  10.486  0.043  10.359  0.035  10.378  0.065  10.233  0.040   10.274  0.049  10.219  0.052  10.385  0.291   0.000  0.000   0.989  -      
ASAS               J101016-5811.2       282.99092   -1.69794     2083    47  116    3.0385406 1O   7.114  0.035   7.067  0.033   0.000  0.000   0.000  0.000    6.987  0.142   7.066  0.044   6.965  0.030   6.009  0.206   0.080  -      
OGLE-IV            OGLE-GD-CEP-0455     282.99631   -1.33218     7162   189   42   28.2413836 F    7.727  0.079   7.650  0.071   7.477  0.090   7.450  0.088    7.532  0.216   7.525  0.151   7.755  0.162   0.000  0.000   1.205  -      
GCVS               AB____Vel            283.01210    0.58406     4171   128   97    6.2455087 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    8.283  0.054   8.222  0.051   8.202  0.058   0.000  0.000   0.482  OGLE   
OGLE-IV            OGLE-GD-CEP-0471     283.02367   -0.24917     7479   167   85    8.5328666 F    9.475  0.055   9.488  0.069   9.293  0.064   9.271  0.056    9.546  0.070   9.407  0.070   9.155  0.123   0.000  0.000   1.223  -      
OGLE-IV            OGLE-GD-CEP-0441     283.05243   -2.43871    12025   406  114    4.5258965 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   10.687  0.044  10.580  0.045   9.737  0.137   0.000  0.000   0.803  -      
OGLE-IV            OGLE-GD-CEP-0470     283.09099   -0.45908     5092    99  144    2.2757891 1O   9.885  0.049   9.844  0.057   9.762  0.053   9.838  0.068    9.909  0.042   9.801  0.043   8.424  0.129   0.000  0.000   0.953  -      
GCVS               V854__Car            283.09114   -1.76135     2535    60  109    5.0706404 F    7.286  0.057   7.287  0.052   0.000  0.000   0.000  0.000    7.190  0.195   7.248  0.077   7.235  0.068   6.701  0.254   0.106  OGLE   
OGLE-IV            OGLE-GD-CEP-0426     283.14215   -4.25081       -1     0  117    2.3028071 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   0.000  GAIA   
GCVS               l_____Car            283.19899   -7.00380      533    25   35   35.5573129 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    0.000  0.000   0.000  0.000   1.070  0.116   0.966  0.070   0.017  -      
ASAS               J100814-5856.6       283.21257   -2.46860     3366   128  103    3.7665976 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    7.973  0.034   7.898  0.048   7.786  0.035   6.771  0.210   0.310  -      
WISE               J101718.7-571232     283.21470   -0.35944     6367   209  140    3.5302527 F   10.446  0.086  10.185  0.100  10.047  0.092  10.082  0.093   10.506  0.103  10.297  0.119   9.082  0.169   6.819  0.313   1.116  OGLE   
OGLE-IV            OGLE-GD-CEP-0438     283.40000   -3.37506    13210   593  170    3.5379267 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   11.466  0.091  11.443  0.108   0.000  0.000   0.000  0.000   0.326  -      
OGLE-IV            OGLE-GD-CEP-0468     283.43091   -1.19771     7389   159  127    3.0791233 1O  10.390  0.096  10.230  0.049  10.185  0.052  10.177  0.055   10.435  0.054  10.288  0.055   8.883  0.225   0.000  0.000   1.121  -      
OGLE-IV            OGLE-GD-CEP-0454     283.44593   -2.07303    12246   303  138    3.5456156 1O  11.168  0.063  10.998  0.043   0.000  0.000   0.000  0.000   11.139  0.056  11.045  0.051   9.695  0.203   0.000  0.000   0.878  -      
OGLE-IV            OGLE-GD-CEP-0466     283.46092   -1.33950     7496   190  177    2.4786362 F   11.214  0.107  11.126  0.067  11.048  0.089  11.113  0.101   11.211  0.089  11.002  0.083   0.000  0.000   0.000  0.000   1.142  -      
GCVS               CN____Car            283.55687   -1.29253     2877    76  110    4.9326581 F    7.571  0.129   7.590  0.129   7.636  0.056   7.613  0.050    7.517  0.114   7.564  0.073   7.453  0.073   0.000  0.000   0.160  -      
OGLE-IV            OGLE-GD-CEP-0469     283.59560   -1.28610     8146   191  127    4.4515523 F   10.599  0.064  10.469  0.060  10.460  0.085  10.370  0.081   10.706  0.085  10.516  0.079   9.593  0.398   0.000  0.000   1.209  -      
OGLE-IV            OGLE-GD-CEP-0477     283.60374   -0.78657     3927    93  110    5.0251044 F    8.592  0.107   8.645  0.070   8.541  0.064   8.508  0.057    8.588  0.082   8.510  0.077   8.517  0.157   0.000  0.000   0.820  -      
OGLE-IV            OGLE-GD-CEP-0445     283.69807   -2.69398    12327   492  261    1.5139932 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   12.078  0.075  12.054  0.072   0.000  0.000   0.000  0.000   0.381  -      
OGLE-IV            OGLE-GD-CEP-0490     283.73986   -0.32699     4413    94   76    9.5247938 F    8.176  0.063   8.089  0.066   8.001  0.056   7.961  0.059    8.191  0.056   8.040  0.064   8.052  0.191   5.153  0.204   1.167  -      
OGLE-IV            OGLE-GD-CEP-0472     283.77231   -1.25994     3865    90  122    4.1696229 F    8.589  0.053   8.632  0.062   8.501  0.054   8.424  0.052    8.632  0.069   8.574  0.069   8.050  0.065   6.464  0.169   0.318  -      
OGLE-IV            OGLE-GD-CEP-0479     283.83345   -1.03219     5753   181  117    4.6949113 F    9.753  0.126   9.497  0.054   9.380  0.056   9.338  0.048    9.809  0.056   9.623  0.055   9.476  0.245   4.998  0.714   0.940  -      
OGLE-IV            OGLE-GD-CEP-0467     283.89717   -1.91678     4610   142  120    4.3415425 F    8.922  0.065   8.850  0.065   0.000  0.000   0.000  0.000    9.013  0.078   8.970  0.083   9.245  0.119   0.000  0.000   0.377  -      
OGLE-IV            OGLE-GD-CEP-0476     283.92270   -1.27157     8041   244  167    2.7958348 F   11.241  0.075  11.082  0.047  10.857  0.086  10.982  0.087   10.947  0.132  10.845  0.135   0.000  0.000   0.000  0.000   0.983  -      
OGLE-IV            OGLE-GD-CEP-0460     283.96209   -2.32488    14610   763   73   13.6754213 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000    9.846  0.102   9.843  0.077   9.620  0.139   0.000  0.000   0.380  -      
OGLE-IV            OGLE-GD-CEP-0494     283.99303   -0.49714     7756   172  142    3.6298713 F   10.939  0.053  10.773  0.051  10.651  0.053  10.671  0.052   11.009  0.071  10.859  0.078   0.000  0.000   0.000  0.000   1.422  -      
OGLE-IV            OGLE-GD-CEP-0463     284.03016   -2.29133     5511   190  167    2.5438680 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   10.024  0.046   9.997  0.048   9.249  0.107   0.000  0.000   0.305  -      
OGLE-IV            OGLE-GD-CEP-0465     284.03582   -2.23941    12852   658  112    6.6055120 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   10.651  0.085  10.578  0.089  10.333  0.247   0.000  0.000   0.466  -      
GAIA               5255955821811454592  284.03604   -5.13585    10196   429  390    0.7010649 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   12.598  0.058  12.663  0.080   0.000  0.000   0.000  0.000   0.084  OGLE   
OGLE-IV            OGLE-GD-CEP-0498     284.07057   -0.14142     4953   101  124    2.8438528 1O   9.724  0.071   9.616  0.041   9.471  0.056   9.435  0.034    9.705  0.035   9.532  0.033   9.498  0.160   5.699  0.143   1.269  -      
OGLE-IV            OGLE-GD-CEP-0497     284.10908   -0.48887     5325   151  111    5.0536432 F    9.456  0.151   9.352  0.133   9.214  0.094   9.210  0.107    9.536  0.057   9.391  0.076   0.000  0.000   0.000  0.000   1.130  -      
OGLE-IV            OGLE-GD-CEP-0482     284.12640   -1.44113     5364   108  127    2.7710373 1O   9.541  0.037   9.382  0.071   9.419  0.043   9.413  0.040    9.561  0.039   9.489  0.037   9.540  0.198   0.000  0.000   0.593  -      
OGLE-IV            OGLE-GD-CEP-0473     284.13942   -1.78182     8855   274  138    3.9658008 F   10.749  0.056  10.594  0.050   0.000  0.000   0.000  0.000   10.545  0.141  10.504  0.131   0.000  0.000   0.000  0.000   0.696  -      
OGLE-IV            OGLE-GD-CEP-0493     284.15345   -0.84731     5750   168  120    4.4655069 F    9.845  0.172   9.710  0.210   9.559  0.117   9.605  0.082    9.751  0.071   9.596  0.078   8.616  0.209   5.532  0.420   1.003  -      
OGLE-IV            OGLE-GD-CEP-0512     284.16552    0.66836     5325   119  132    3.7506496 F    9.713  0.058   9.691  0.069   9.571  0.059   9.499  0.053    9.645  0.074   9.534  0.071   9.220  0.098   0.000  0.000   0.755  -      
OGLE-IV            OGLE-GD-CEP-0521     284.16847    0.97440    10277   352  106    4.5953308 1O  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   10.489  0.044  10.351  0.050   0.000  0.000   0.000  0.000   1.086  -      
OGLE-IV            OGLE-GD-CEP-0464     284.20929   -2.53561     9604   394  145    3.8038674 F   -1.000 -1.000  -1.000 -1.000  -1.000 -1.000  -1.000 -1.000   10.836  0.085  10.769  0.075   0.000  0.000   0.000  0.000   0.602  -      
OGLE-IV            OGLE-GD-CEP-0478     284.28412   -1.79022     7232   179  120    4.7325720 F    9.944  0.065   9.839  0.053   0.000  0.000   0.000  0.000    9.950  0.058   9.886  0.062   9.613  0.126   0.000  0.000   0.612  -      
